Frame                           Rhelio  Delta  alpha  Amass Filter Exptime MJD    TmagCorr  TmagErr  TmagFinalErr
lsc1m004-fa03-20190805-0113-e91 5.0334 4.0624 3.731 1.541 rp 154 58701.1115602 18.89380 0.022 0.032
lsc1m004-fa03-20190805-0114-e91 5.0334 4.0624 3.731 1.520 rp 154 58701.1136581 18.85950 0.021 0.031
lsc1m004-fa03-20190805-0115-e91 5.0334 4.0624 3.731 1.501 rp 154 58701.1157563 18.83895 0.023 0.039
lsc1m004-fa03-20190805-0138-e91 5.0333 4.0620 3.716 1.120 rp 154 58701.1879353 18.70550 0.015 0.030
lsc1m004-fa03-20190805-0139-e91 5.0333 4.0620 3.716 1.115 rp 154 58701.1900333 18.70010 0.016 0.027
lsc1m004-fa03-20190805-0140-e91 5.0333 4.0620 3.715 1.109 rp 155 58701.1921202 18.69780 0.016 0.027
lsc1m004-fa03-20190805-0151-e91 5.0333 4.0618 3.708 1.048 rp 154 58701.2295735 18.58875 0.013 0.032
lsc1m004-fa03-20190805-0152-e91 5.0333 4.0618 3.707 1.046 rp 154 58701.2316714 18.56975 0.013 0.037
lsc1m004-fa03-20190805-0153-e91 5.0333 4.0618 3.707 1.044 rp 154 58701.2337696 18.54040 0.013 0.030
lsc1m004-fa03-20190805-0171-e91 5.0333 4.0616 3.699 1.041 rp 154 58701.2711599 18.50445 0.012 0.025
lsc1m004-fa03-20190805-0172-e91 5.0333 4.0615 3.699 1.043 rp 154 58701.2732578 18.49000 0.012 0.026
lsc1m004-fa03-20190805-0173-e91 5.0333 4.0615 3.698 1.044 rp 154 58701.2753558 18.51770 0.013 0.022
elp1m008-fa05-20190805-0065-e91 5.0333 4.0613 3.691 1.464 rp 154 58701.3128009 18.48390 0.015 0.037
elp1m008-fa05-20190805-0066-e91 5.0333 4.0613 3.690 1.459 rp 154 58701.3149011 18.48050 0.015 0.033
elp1m008-fa05-20190805-0067-e91 5.0333 4.0613 3.690 1.455 rp 155 58701.3169931 18.45920 0.015 0.037
elp1m008-fa05-20190805-0075-e91 5.0332 4.0611 3.682 1.428 rp 154 58701.3545528 18.51605 0.016 0.038
elp1m008-fa05-20190805-0076-e91 5.0332 4.0611 3.682 1.429 rp 154 58701.3566508 18.50310 0.015 0.036
elp1m008-fa05-20190805-0077-e91 5.0332 4.0611 3.681 1.430 rp 154 58701.3587495 18.48660 0.015 0.033
lsc1m004-fa03-20190805-0253-e91 5.0332 4.0609 3.674 1.529 rp 154 58701.3961221 18.54110 0.016 0.041
lsc1m004-fa03-20190805-0254-e91 5.0332 4.0609 3.673 1.549 rp 154 58701.3982201 18.56450 0.016 0.040
lsc1m004-fa03-20190805-0255-e91 5.0332 4.0609 3.673 1.571 rp 154 58701.4003180 18.58500 0.016 0.044
coj1m011-fa12-20190806-0126-e91 5.0330 4.0597 3.629 1.051 rp 154 58701.6202546 18.78370 0.015 0.026
coj1m011-fa12-20190806-0127-e91 5.0330 4.0597 3.629 1.049 rp 155 58701.6223527 18.79970 0.015 0.033
coj1m011-fa12-20190806-0128-e91 5.0330 4.0597 3.628 1.048 rp 154 58701.6244629 18.73890 0.014 0.027
coj1m011-fa12-20190806-0271-e91 5.0329 4.0588 3.595 1.601 rp 154 58701.7909284 18.49930 0.014 0.022
coj1m011-fa12-20190806-0272-e91 5.0329 4.0588 3.594 1.624 rp 154 58701.7930402 18.51790 0.014 0.029
coj1m011-fa12-20190806-0273-e91 5.0329 4.0588 3.594 1.648 rp 154 58701.7951287 18.52320 0.014 0.029
cpt1m013-fa14-20190806-0098-e91 5.0329 4.0587 3.589 1.960 rp 155 58701.8232697 18.62900 0.021 0.110
cpt1m013-fa14-20190806-0099-e91 5.0329 4.0586 3.588 1.924 rp 155 58701.8253676 18.53180 0.020 0.108
cpt1m013-fa14-20190806-0100-e91 5.0329 4.0586 3.588 1.890 rp 155 58701.8274656 18.55060 0.022 0.086
cpt1m013-fa14-20190806-0102-e91 5.0329 4.0586 3.587 1.788 rp 155 58701.8342275 18.51450 0.021 0.086
cpt1m013-fa14-20190806-0103-e91 5.0329 4.0586 3.586 1.759 rp 155 58701.8363256 18.53900 0.020 0.086
cpt1m013-fa14-20190806-0104-e91 5.0329 4.0586 3.586 1.732 rp 155 58701.8384235 18.51920 0.023 0.080
cpt1m013-fa14-20190806-0108-e91 5.0329 4.0585 3.583 1.551 rp 155 58701.8545700 18.60890 0.020 0.113
cpt1m013-fa14-20190806-0109-e91 5.0329 4.0585 3.582 1.531 rp 155 58701.8566794 18.62470 0.022 0.113
cpt1m013-fa14-20190806-0110-e91 5.0329 4.0585 3.582 1.511 rp 155 58701.8587893 18.60140 0.021 0.121
cpt1m012-fa06-20190806-0077-e91 5.0328 4.0578 3.555 1.050 rp 154 58701.9875402 18.73090 0.015 0.040
cpt1m012-fa06-20190806-0078-e91 5.0328 4.0578 3.555 1.049 rp 154 58701.9896344 18.75430 0.015 0.043
cpt1m012-fa06-20190806-0079-e91 5.0328 4.0578 3.555 1.049 rp 154 58701.9917349 18.78830 0.015 0.037
cpt1m013-fa14-20190806-0182-e91 5.0327 4.0575 3.544 1.089 rp 155 58702.0449991 18.90265 0.025 0.038
cpt1m013-fa14-20190806-0183-e91 5.0327 4.0575 3.543 1.093 rp 155 58702.0470973 18.93740 0.026 0.041
cpt1m013-fa14-20190806-0184-e91 5.0327 4.0575 3.543 1.097 rp 155 58702.0492070 18.90295 0.023 0.035
cpt1m010-fa16-20190806-0168-e91 5.0327 4.0574 3.538 1.158 rp 155 58702.0731731 18.87910 0.021 0.039
cpt1m010-fa16-20190806-0169-e91 5.0327 4.0573 3.538 1.165 rp 155 58702.0752844 18.92000 0.022 0.038
